Date,Dholiday,WeekDay,Description
01/01/21,1,Friday,New Year's Day Federal Holiday   
01/18/21,1,Monday,Martin Luther King Jr. Day Federal Holiday 
01/20/21,1,Wednesday,"Inauguration Day Federal Holiday DC, MD*, VA* "
02/15/21,1,Monday,Presidents' Day Federal Holiday    
05/31/21,1,Monday,Memorial Day Federal Holiday    
06/18/21,1,Friday,Day off for Juneteenth Federal Holiday  
06/19/21,1,Saturday,Juneteenth Federal Holiday     
07/04/21,1,Sunday,Independence Day Federal Holiday    
07/05/21,1,Monday,Day off for Independence Day Federal Holiday 
09/06/21,1,Monday,Labor Day Federal Holiday    
10/11/21,1,Monday,Columbus Day Federal Holiday    
11/11/21,1,Thursday,Veterans Day Federal Holiday    
11/25/21,1,Thursday,Thanksgiving Day Federal Holiday    
12/24/21,1,Friday,Day off for Christmas Day Federal Holiday 
12/25/21,1,Saturday,Christmas Day Federal Holiday    
12/31/21,1,Friday,Day off for New Year's Day Federal Holiday
